scenario,bucket,fills,won,wr_pct,pnl_usd,avg_pnl_per_fill_usd,touched
baseline,all,52013,34947,67.19,8758.08,0.1684,125392
baseline,5,30293,20295,67.0,4650.38,0.1535,78388
baseline,15,21720,14652,67.46,4107.69,0.1891,47004
delay_30_300,all,40286,27133,67.35,7285.38,0.1808,125392
delay_30_300,5,25742,17344,67.38,4705.38,0.1828,78388
delay_30_300,15,14544,9789,67.31,2580.0,0.1774,47004
minute_00_15_or_30_45,all,26549,17800,67.05,4178.08,0.1574,125392
minute_00_15_or_30_45,5,15488,10374,66.98,2360.0,0.1524,78388
minute_00_15_or_30_45,15,11061,7426,67.14,1818.08,0.1644,47004
combined_delay_30_300_and_minute_good,all,20432,13737,67.23,3509.23,0.1718,125392
combined_delay_30_300_and_minute_good,5,13069,8806,67.38,2393.46,0.1831,78388
combined_delay_30_300_and_minute_good,15,7363,4931,66.97,1115.77,0.1515,47004
strict_delay_60_300,all,31316,21114,67.42,5835.38,0.1863,125392
strict_delay_60_300,5,18661,12591,67.47,3548.85,0.1902,78388
strict_delay_60_300,15,12655,8523,67.35,2286.54,0.1807,47004
